zoneid1,city,zoneid,zone_name
127,B,9,B_009
128,B,10,B_010
129,B,11,B_011
130,B,12,B_012
131,B,13,B_013
132,B,14,B_014
133,B,15,B_015
134,B,16,B_016
135,B,17,B_017
136,B,18,B_018
137,B,19,B_019
138,B,20,B_020
139,B,21,B_021
140,B,22,B_022
141,B,23,B_023
142,B,24,B_024
143,B,25,B_025
144,B,26,B_026
145,B,27,B_027
146,B,28,B_028
147,B,29,B_029
148,C,0,C_000
149,C,1,C_001
150,C,2,C_002
151,C,3,C_003
152,C,4,C_004
153,C,5,C_005
154,C,6,C_006
155,C,7,C_007
156,C,8,C_008
157,C,9,C_009
158,C,10,C_010
159,C,11,C_011
160,C,12,C_012
161,C,13,C_013
162,C,14,C_014
163,C,15,C_015
164,C,16,C_016
165,C,17,C_017
166,C,18,C_018
167,C,19,C_019
168,C,20,C_020
169,C,21,C_021
170,C,22,C_022
171,C,23,C_023
172,C,24,C_024
173,C,25,C_025
174,C,26,C_026
175,C,27,C_027
176,C,28,C_028
177,C,29,C_029
178,C,30,C_030
179,C,31,C_031
180,C,32,C_032
181,C,33,C_033
182,C,34,C_034
183,C,35,C_035
184,C,36,C_036
185,C,37,C_037
186,C,38,C_038
187,C,39,C_039
188,C,40,C_040
189,C,41,C_041
190,C,42,C_042
191,C,43,C_043
192,C,44,C_044
193,C,45,C_045
194,C,46,C_046
195,C,47,C_047
196,C,48,C_048
197,C,49,C_049
198,C,50,C_050
199,C,51,C_051
200,C,52,C_052
201,C,53,C_053
202,C,54,C_054
203,C,55,C_055
204,C,56,C_056
205,C,57,C_057
206,C,58,C_058
207,C,59,C_059
208,C,60,C_060
209,C,61,C_061
210,C,62,C_062
211,C,63,C_063
212,C,64,C_064
213,C,65,C_065
214,C,66,C_066
215,C,67,C_067
216,C,68,C_068
217,C,69,C_069
218,C,70,C_070
219,C,71,C_071
220,C,72,C_072
221,C,73,C_073
222,C,74,C_074
223,C,75,C_075
224,C,76,C_076
225,C,77,C_077
226,C,78,C_078
227,C,79,C_079
228,C,80,C_080
229,C,81,C_081
230,C,82,C_082
231,C,83,C_083
232,C,84,C_084
233,C,85,C_085
234,C,86,C_086
235,C,87,C_087
236,C,88,C_088
237,C,89,C_089
238,C,90,C_090
239,C,91,C_091
240,C,92,C_092
241,C,93,C_093
242,C,94,C_094
243,C,95,C_095
244,C,96,C_096
245,C,97,C_097
246,C,98,C_098
247,C,99,C_099
248,C,100,C_100
249,C,101,C_101
250,C,102,C_102
251,C,103,C_103
252,C,104,C_104
253,C,105,C_105
254,C,106,C_106
255,C,107,C_107
256,C,108,C_108
257,C,109,C_109
258,C,110,C_110
259,C,111,C_111
260,C,112,C_112
261,C,113,C_113
262,C,114,C_114
263,C,115,C_115
264,C,116,C_116
265,C,117,C_117
266,C,118,C_118
267,C,119,C_119
268,C,120,C_120
269,C,121,C_121
270,C,122,C_122
271,C,123,C_123
272,C,124,C_124
273,C,125,C_125
274,C,126,C_126
275,C,127,C_127
276,C,128,C_128
277,C,129,C_129
278,C,130,C_130
279,C,131,C_131
280,C,132,C_132
281,C,133,C_133
282,C,134,C_134
283,D,0,D_000
284,D,1,D_001
285,D,2,D_002
286,D,3,D_003
287,D,4,D_004
288,D,5,D_005
289,D,6,D_006
290,D,7,D_007
291,D,8,D_008
292,D,9,D_009
293,D,10,D_010
294,D,11,D_011
295,D,12,D_012
296,D,13,D_013
297,D,14,D_014
298,D,15,D_015
299,D,16,D_016
300,D,17,D_017
301,D,18,D_018
302,D,19,D_019
303,D,20,D_020
304,D,21,D_021
305,D,22,D_022
306,D,23,D_023
307,D,24,D_024
308,D,25,D_025
309,D,26,D_026
310,D,27,D_027
311,D,28,D_028
312,D,29,D_029
313,D,30,D_030
314,D,31,D_031
315,D,32,D_032
316,D,33,D_033
317,D,34,D_034
318,D,35,D_035
319,D,36,D_036
320,D,37,D_037
321,D,38,D_038
322,D,39,D_039
323,D,40,D_040
324,D,41,D_041
325,D,42,D_042
326,D,43,D_043
327,D,44,D_044
328,D,45,D_045
329,D,46,D_046
330,D,47,D_047
331,D,48,D_048
332,D,49,D_049
333,D,50,D_050
334,D,51,D_051
335,D,52,D_052
336,D,53,D_053
337,D,54,D_054
338,D,55,D_055
339,D,56,D_056
340,D,57,D_057
341,D,58,D_058
342,D,59,D_059
343,D,60,D_060
344,D,61,D_061
345,D,62,D_062
346,D,63,D_063
347,D,64,D_064
348,D,65,D_065
349,D,66,D_066
350,D,67,D_067
351,D,68,D_068
352,D,69,D_069
353,D,70,D_070
354,D,71,D_071
355,D,72,D_072
356,D,73,D_073
357,D,74,D_074
358,E,0,E_000
359,E,1,E_001
360,E,2,E_002
361,E,3,E_003
362,E,4,E_004
363,E,5,E_005
364,E,6,E_006
365,E,7,E_007
366,E,8,E_008
367,E,9,E_009
368,E,10,E_010
369,E,11,E_011
370,E,12,E_012
371,E,13,E_013
372,E,14,E_014
373,E,15,E_015
374,E,16,E_016
375,E,17,E_017
376,E,18,E_018
377,E,19,E_019
378,E,20,E_020
379,E,21,E_021
380,E,22,E_022
381,E,23,E_023
382,E,24,E_024
383,E,25,E_025
384,E,26,E_026
385,E,27,E_027
386,E,28,E_028
387,E,29,E_029
388,E,30,E_030
389,E,31,E_031
390,E,32,E_032
391,E,33,E_033
392,F,0,F_000
393,F,1,F_001
394,F,2,F_002
395,F,3,F_003
396,F,4,F_004
397,F,5,F_005
398,F,6,F_006
399,F,7,F_007
400,F,8,F_008
401,F,9,F_009
402,F,10,F_010
403,F,11,F_011
404,F,12,F_012
405,F,13,F_013
406,F,14,F_014
407,F,15,F_015
408,F,16,F_016
409,F,17,F_017
410,F,18,F_018
411,F,19,F_019
412,F,20,F_020
413,F,21,F_021
414,F,22,F_022
415,F,23,F_023
416,F,24,F_024
417,F,25,F_025
418,F,26,F_026
419,F,27,F_027
420,F,28,F_028
421,F,29,F_029
422,F,30,F_030
423,F,31,F_031
424,F,32,F_032
425,F,33,F_033
426,F,34,F_034
427,F,35,F_035
428,F,36,F_036
429,F,37,F_037
430,F,38,F_038
431,F,39,F_039
432,F,40,F_040
433,F,41,F_041
434,F,42,F_042
435,F,43,F_043
436,F,44,F_044
437,F,45,F_045
438,F,46,F_046
439,F,47,F_047
440,F,48,F_048
441,F,49,F_049
442,F,50,F_050
443,F,51,F_051
444,F,52,F_052
445,F,53,F_053
446,F,54,F_054
447,F,55,F_055
448,F,56,F_056
449,F,57,F_057
450,F,58,F_058
451,F,59,F_059
452,F,60,F_060
453,F,61,F_061
454,F,62,F_062
455,F,63,F_063
456,F,64,F_064
457,F,65,F_065
458,F,66,F_066
459,F,67,F_067
460,F,68,F_068
461,F,69,F_069
462,F,70,F_070
463,F,71,F_071
464,F,72,F_072
465,F,73,F_073
466,F,74,F_074
467,F,75,F_075
468,F,76,F_076
469,F,77,F_077
470,F,78,F_078
471,F,79,F_079
472,F,80,F_080
473,F,81,F_081
474,F,82,F_082
475,F,83,F_083
476,F,84,F_084
477,F,85,F_085
478,F,86,F_086
479,F,87,F_087
480,F,88,F_088
481,F,89,F_089
482,F,90,F_090
483,F,91,F_091
484,F,92,F_092
485,F,93,F_093
486,F,94,F_094
487,F,95,F_095
488,F,96,F_096
489,F,97,F_097
490,F,98,F_098
491,F,99,F_099
492,F,100,F_100
493,F,101,F_101
494,F,102,F_102
495,F,103,F_103
496,F,104,F_104
497,F,105,F_105
498,F,106,F_106
499,F,107,F_107
500,F,108,F_108
501,F,109,F_109
502,F,110,F_110
503,F,111,F_111
504,F,112,F_112
505,F,113,F_113
506,F,114,F_114
507,F,115,F_115
508,F,116,F_116
509,F,117,F_117
510,F,118,F_118
511,F,119,F_119
512,F,120,F_120
513,F,121,F_121
514,F,122,F_122
515,F,123,F_123
516,F,124,F_124
517,F,125,F_125
518,F,126,F_126
519,F,127,F_127
520,F,128,F_128
521,F,129,F_129
522,F,130,F_130
523,F,131,F_131
524,F,132,F_132
525,F,133,F_133
526,F,134,F_134
527,F,135,F_135
528,F,136,F_136
529,F,137,F_137
530,F,138,F_138
531,F,139,F_139
532,F,140,F_140
533,F,141,F_141
534,F,142,F_142
535,F,143,F_143
536,F,144,F_144
537,F,145,F_145
538,F,146,F_146
539,F,147,F_147
540,F,148,F_148
541,F,149,F_149
542,F,150,F_150
543,F,151,F_151
544,F,152,F_152
545,F,153,F_153
546,F,154,F_154
547,F,155,F_155
548,F,156,F_156
549,F,157,F_157
550,F,158,F_158
551,F,159,F_159
552,F,160,F_160
553,F,161,F_161
554,F,162,F_162
555,F,163,F_163
556,F,164,F_164
557,F,165,F_165
558,F,166,F_166
559,F,167,F_167
560,F,168,F_168
561,F,169,F_169
562,F,170,F_170
563,F,171,F_171
564,F,172,F_172
565,F,173,F_173
566,F,174,F_174
567,F,175,F_175
568,F,176,F_176
569,F,177,F_177
570,F,178,F_178
571,F,179,F_179
572,F,180,F_180
573,F,181,F_181
574,F,182,F_182
575,F,183,F_183
576,F,184,F_184
577,F,185,F_185
578,F,186,F_186
579,F,187,F_187
580,F,188,F_188
581,F,189,F_189
582,F,190,F_190
583,F,191,F_191
584,F,192,F_192
585,F,193,F_193
586,F,194,F_194
587,F,195,F_195
588,F,196,F_196
589,F,197,F_197
590,F,198,F_198
591,F,199,F_199
592,F,200,F_200
593,F,201,F_201
594,F,202,F_202
595,F,203,F_203
596,F,204,F_204
597,F,205,F_205
598,F,206,F_206
599,F,207,F_207
600,F,208,F_208
601,F,209,F_209
602,F,210,F_210
603,F,211,F_211
604,F,212,F_212
605,F,213,F_213
606,F,214,F_214
607,F,215,F_215
608,F,216,F_216
609,F,217,F_217
610,F,218,F_218
611,F,219,F_219
612,F,220,F_220
613,F,221,F_221
614,F,222,F_222
615,F,223,F_223
616,F,224,F_224
617,F,225,F_225
618,F,226,F_226
619,F,227,F_227
620,F,228,F_228
621,F,229,F_229
622,F,230,F_230
623,F,231,F_231
624,F,232,F_232
625,F,233,F_233
626,F,234,F_234
627,F,235,F_235
628,F,236,F_236
629,F,237,F_237
630,F,238,F_238
631,F,239,F_239
632,F,240,F_240
633,F,241,F_241
634,F,242,F_242
635,F,243,F_243
636,F,244,F_244
637,F,245,F_245
638,F,246,F_246
639,F,247,F_247
640,F,248,F_248
641,F,249,F_249
642,F,250,F_250
643,F,251,F_251
644,F,252,F_252
645,F,253,F_253
646,F,254,F_254
647,F,255,F_255
648,F,256,F_256
649,F,257,F_257
650,F,258,F_258
651,F,259,F_259
652,F,260,F_260
653,F,261,F_261
654,F,262,F_262
655,F,263,F_263
656,F,264,F_264
657,F,265,F_265
658,F,266,F_266
659,F,267,F_267
660,F,268,F_268
661,F,269,F_269
662,F,270,F_270
663,F,271,F_271
664,F,272,F_272
665,F,273,F_273
666,F,274,F_274
667,F,275,F_275
668,F,276,F_276
669,F,277,F_277
670,F,278,F_278
671,F,279,F_279
672,F,280,F_280
673,F,281,F_281
674,F,282,F_282
675,F,283,F_283
676,F,284,F_284
677,F,285,F_285
678,F,286,F_286
679,F,287,F_287
680,F,288,F_288
681,F,289,F_289
682,F,290,F_290
683,F,291,F_291
684,F,292,F_292
685,F,293,F_293
686,F,294,F_294
687,F,295,F_295
688,F,296,F_296
689,F,297,F_297
690,F,298,F_298
691,F,299,F_299
692,F,300,F_300
693,F,301,F_301
694,F,302,F_302
695,F,303,F_303
696,F,304,F_304
697,F,305,F_305
698,F,306,F_306
699,F,307,F_307
700,F,308,F_308
701,F,309,F_309
702,F,310,F_310
703,F,311,F_311
704,F,312,F_312
705,F,313,F_313
706,F,314,F_314
707,F,315,F_315
708,F,316,F_316
709,F,317,F_317
710,F,318,F_318
711,F,319,F_319
712,F,320,F_320
713,F,321,F_321
714,F,322,F_322
715,F,323,F_323
716,F,324,F_324
717,F,325,F_325
718,F,326,F_326
719,F,327,F_327
720,F,328,F_328
721,F,329,F_329
722,F,330,F_330
723,G,0,G_000
724,G,1,G_001
725,G,2,G_002
726,G,3,G_003
727,G,4,G_004
728,G,5,G_005
729,G,6,G_006
730,G,7,G_007
731,G,8,G_008
732,G,9,G_009
733,G,10,G_010
734,G,11,G_011
735,G,12,G_012
736,G,13,G_013
737,G,14,G_014
738,G,15,G_015
739,G,16,G_016
740,G,17,G_017
741,G,18,G_018
742,G,19,G_019
743,G,20,G_020
744,G,21,G_021
745,G,22,G_022
746,G,23,G_023
747,G,24,G_024
748,G,25,G_025
749,G,26,G_026
750,G,27,G_027
751,G,28,G_028
752,G,29,G_029
753,G,30,G_030
754,G,31,G_031
755,G,32,G_032
756,G,33,G_033
757,G,34,G_034
758,G,35,G_035
759,G,36,G_036
760,G,37,G_037
761,H,0,H_000
762,H,1,H_001
763,H,2,H_002
764,H,3,H_003
765,H,4,H_004
766,H,5,H_005
767,H,6,H_006
768,H,7,H_007
769,H,8,H_008
770,H,9,H_009
771,H,10,H_010
772,H,11,H_011
773,H,12,H_012
774,H,13,H_013
775,H,14,H_014
776,H,15,H_015
777,H,16,H_016
778,H,17,H_017
779,H,18,H_018
780,H,19,H_019
781,H,20,H_020
782,H,21,H_021
783,H,22,H_022
784,H,23,H_023
785,H,24,H_024
786,H,25,H_025
787,H,26,H_026
788,H,27,H_027
789,H,28,H_028
790,H,29,H_029
791,H,30,H_030
792,H,31,H_031
793,H,32,H_032
794,H,33,H_033
795,H,34,H_034
796,H,35,H_035
797,H,36,H_036
798,H,37,H_037
799,H,38,H_038
800,H,39,H_039
801,H,40,H_040
802,H,41,H_041
803,H,42,H_042
804,H,43,H_043
805,H,44,H_044
806,H,45,H_045
807,H,46,H_046
808,H,47,H_047
809,H,48,H_048
810,H,49,H_049
811,H,50,H_050
812,H,51,H_051
813,H,52,H_052
814,I,0,I_000
815,I,1,I_001
816,I,2,I_002
817,I,3,I_003
818,I,4,I_004
819,I,5,I_005
820,I,6,I_006
821,I,7,I_007
822,I,8,I_008
823,I,9,I_009
824,I,10,I_010
825,I,11,I_011
826,I,12,I_012
827,I,13,I_013
828,I,14,I_014
829,I,15,I_015
830,I,16,I_016
831,I,17,I_017
832,I,18,I_018
833,I,19,I_019
834,I,20,I_020
835,I,21,I_021
836,I,22,I_022
837,I,23,I_023
838,I,24,I_024
839,I,25,I_025
840,I,26,I_026
841,I,27,I_027
842,I,28,I_028
843,I,29,I_029
844,I,30,I_030
845,I,31,I_031
846,I,32,I_032
847,J,0,J_000
848,J,1,J_001
849,J,2,J_002
850,J,3,J_003
851,J,4,J_004
852,J,5,J_005
853,J,6,J_006
854,J,7,J_007
855,K,0,K_000
856,K,1,K_001
857,K,2,K_002
858,K,3,K_003
859,K,4,K_004
860,K,5,K_005
861,K,6,K_006
862,K,7,K_007
863,K,8,K_008
864,K,9,K_009
865,K,10,K_010
866,K,11,K_011
867,K,12,K_012
868,K,13,K_013
869,K,14,K_014
870,K,15,K_015
871,K,16,K_016
872,K,17,K_017
873,K,18,K_018
874,K,19,K_019
875,K,20,K_020
876,K,21,K_021
877,K,22,K_022
878,K,23,K_023
879,K,24,K_024
880,K,25,K_025
881,K,26,K_026
882,K,27,K_027
883,K,28,K_028
884,K,29,K_029
885,K,30,K_030
886,K,31,K_031
887,K,32,K_032
888,K,33,K_033
889,K,34,K_034
890,K,35,K_035
891,K,36,K_036
892,K,37,K_037
893,K,38,K_038
894,K,39,K_039
895,K,40,K_040
896,K,41,K_041
897,K,42,K_042
898,K,43,K_043
899,K,44,K_044
900,K,45,K_045
901,K,46,K_046
902,K,47,K_047
